[INFO] [1775873956.277123226] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873957.278264425] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873958.277182550] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873959.277324561] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873960.277382084] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873961.276918317] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873962.278198322] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873963.277713459] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873964.278193268] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873965.277698295] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873966.277380433] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873967.277603447] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873968.276779597] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873969.277773980] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873970.277919717] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873971.278411031] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873972.277794799] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873973.277853501] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
[INFO] [1775873974.276571293] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=0, fan_speed=0)
